YEAR,incgroup,ln_RLABINC,log_div_t,y_gt,dy_gt,t_index
2015,Group6,11.360663931282671,1.2165216211685692,10.144142310114102,0.0013467999666296748,39
2016,Group6,11.379154219843208,1.2303730093728262,10.148781210470382,0.004638900356280118,40
2017,Group6,11.424654803625156,1.2339158220643678,10.190738981560788,0.04195777109040577,41
2018,Group6,11.417739550671463,1.2346616536316373,10.183077897039826,-0.007661084520961481,42
2019,Group6,11.437133113653577,1.2421184175988096,10.195014696054766,0.011936799014939936,43
2020,Group6,11.439762836287525,1.2545785822752078,10.185184254012317,-0.00983044204244976,44
2021,Group6,11.440922556890394,1.2287628673245719,10.212159689565823,0.026975435553506344,45
2022,Group6,11.4063299209149,1.1748738079692054,10.231456112945693,0.019296423379870475,46
2023,Group6,11.412874938735342,1.1583124075511855,10.254562531184156,0.023106418238462823,47
2024,Group6,11.48250703844312,1.1504155426346838,10.332091495808436,0.07752896462428005,48
1976,Group7,11.453531656469838,1.4212370746354555,10.032294581834384,,0
1977,Group7,11.421617524414405,1.4053358662308209,10.016281658183583,-0.016012923650800204,1
1978,Group7,11.49861087085235,1.3837051287150068,10.114905742137342,0.09862408395375866,2
1979,Group7,11.46271578774634,1.3309802715109509,10.13173551623539,0.016829774098047423,3
1980,Group7,11.404030029724485,1.25467755327468,10.149352476449804,0.017616960214414945,4
1981,Group7,11.347515335571702,1.2069414761214812,10.140573859450221,-0.008778616999583377,5
1982,Group7,11.38572620694622,1.204709191447922,10.181017015498298,0.040443156048077356,6
1983,Group7,11.487288033629136,1.21744439668358,10.269843636945556,0.08882662144725728,7
1984,Group7,11.483772302062675,1.2223164776253483,10.261455824437327,-0.00838781250822862,8
1985,Group7,11.438021813423765,1.2301418082165847,10.20788000520718,-0.053575819230147204,9
1986,Group7,11.496798117023763,1.2488721789288717,10.247925938094891,0.04004593288771119,10
1987,Group7,11.509378099258722,1.2475973177244526,10.26178078153427,0.013854843439379039,11
1988,Group7,11.480939315390703,1.2513135123982402,10.229625802992462,-0.03215497854180782,12
1989,Group7,11.561504271744615,1.242204190431449,10.319300081313166,0.08967427832070385,13
1990,Group7,11.571675639778258,1.228032708537962,10.343642931240296,0.024342849927130317,14
1991,Group7,11.523715674562116,1.2197818318507236,10.303933842711391,-0.03970908852890531,15
1992,Group7,11.514811389089498,1.2201386325999983,10.2946727564895,-0.00926108622189048,16
1993,Group7,11.522799277306962,1.2195122696693004,10.303287007637662,0.0086142511481615,17
1994,Group7,11.54561731035727,1.222838575736288,10.322778734620982,0.019491726983320135,18
1995,Group7,11.556986376283556,1.2225242361934225,10.334462140090134,0.011683405469151253,19
1996,Group7,11.57721059586815,1.2170842674658826,10.360126328402268,0.025664188312134684,20
1997,Group7,11.59148309500224,1.2134048492314777,10.378078245770762,0.017951917368494108,21
1998,Group7,11.643447867658905,1.2148068613909997,10.428641006267906,0.0505627604971437,22
1999,Group7,11.803704785753494,1.209194232960751,10.594510552792743,0.16586954652483676,23
2000,Group7,11.81933730216852,1.1912058542399875,10.628131447928533,0.03362089513579036,24
2001,Group7,11.936930221410863,1.179389015885697,10.757541205525166,0.1294097575966333,25
2002,Group7,11.994551586310692,1.1824217119160807,10.81212987439461,0.054588668869444135,26
2003,Group7,11.75376324742363,1.1812101589056503,10.57255308851798,-0.2395767858766309,27
2004,Group7,11.738906806234658,1.1750403774200744,10.563866428814583,-0.00868665970339677,28
2005,Group7,11.702193880045767,1.1625476249962878,10.53964625504948,-0.024220173765103326,29
2006,Group7,11.733868250574956,1.1522893537193124,10.581578896855643,0.04193264180616296,30
2007,Group7,11.773182317687946,1.1457453087669454,10.627437008921,0.04585811206535695,31
2008,Group7,11.747863427157894,1.1349124980441936,10.6129509291137,-0.0144860798073001,32
2009,Group7,11.900267044379396,1.1674502485896212,10.732816795789775,0.11986586667607568,33
2010,Group7,11.896469587150891,1.1754310188003922,10.7210385683505,-0.011778227439275923,34
2011,Group7,11.741758431767911,1.168560883711804,10.573197548056108,-0.1478410202943916,35
2012,Group7,11.74250084612128,1.1758272096799174,10.566673636441362,-0.00652391161474597,36
2013,Group7,11.7324977300204,1.1854779952942271,10.547019734726174,-0.01965390171518777,37
